achter, behind
het bezoek, visit
op bezoek, on a visit
denken, to think
echt, real really
het feest, party
houden van, to like to love
jawel, oh yes indeed
kennen, to know to be acquiented with 
leuk, nice lovely
na, after
naar, to
nooit, never
reuze gazellig, great fun
thuis, at home
vanavond, this evening
vinden, to find
zo, so
